"Category","Type.of.feeding.interaction","Predator.lifestage","Location","Slope","Intercept","R.squared","F.statistic","p.value"
"predacious/piscivorous.adult.Apalachicola Bay, Florida","predacious/piscivorous","adult","Apalachicola Bay, Florida",31.7855210639613,336.317401258103,0.454896466590064,46.7327774774965,6.45353839085835e-09
"piscivorous.adult.Apalachicola Bay, Florida","piscivorous","adult","Apalachicola Bay, Florida",33.0987246647544,2542.50380929219,0.132795821890007,12.8630019554008,0.000561879679057592
"piscivorous.juvenile.Apalachicola Bay, Florida","piscivorous","juvenile","Apalachicola Bay, Florida",31.0032366469437,4602.36646169322,0.0567208571407711,1.62355242813778,0.213455733514303
"predacious/piscivorous.adult.Crooked Island Sound, Florida","predacious/piscivorous","adult","Crooked Island Sound, Florida",8.93111353176893,541.926877522503,0.152725752974716,18.2057947643321,4.47776370543988e-05
"predacious.juvenile.Gulf of Alaska","predacious","juvenile","Gulf of Alaska",0.521625898429098,2.02429389845615,0.0204380820233481,0.855445018410001,0.360428527576408
"piscivorous.adult.Jeffreys Ledge, Gulf of Maine, New England","piscivorous","adult","Jeffreys Ledge, Gulf of Maine, New England",30.1139830084535,147760.021989524,0.00599117322338166,2.3325588012809,0.127510327789257
"predacious.adult.Stellwagen Bank, Gulf of Maine, New England","predacious","adult","Stellwagen Bank, Gulf of Maine, New England",366539.322859749,162190.405558652,0.169391674753812,1.01968442649311,0.35893532018586
"predacious.adult.Jeffreys Ledge, Gulf of Maine, New England","predacious","adult","Jeffreys Ledge, Gulf of Maine, New England",5912.66381392444,135526.299947429,0.000907868713857298,0.0318042790949625,0.859486156430834
"piscivorous.adult.Stellwagen Bank, Gulf of Maine, New England","piscivorous","adult","Stellwagen Bank, Gulf of Maine, New England",62.6681856130385,192892.576380019,0.0372630193558566,19.5074689483582,1.2271984869739e-05
"piscivorous.adult.Cape Cod Bay, Gulf of Maine, New England","piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England",20.9020831805066,235740.549468056,0.0814159630523919,6.20424172904769,0.0151192023605774
"predacious.adult.Cape Cod Bay, Gulf of Maine, New England","predacious","adult","Cape Cod Bay, Gulf of Maine, New England",53167.4559188799,284583.947865136,0.0125192342336428,0.177491334866636,0.679934652598592
"piscivorous.adult.Great Channel South, Gulf of Maine, New England","piscivorous","adult","Great Channel South, Gulf of Maine, New England",125.166807253085,107597.245781302,0.123951449844567,102.579704197178,1.22274146393278e-22
"predacious.adult.Great Channel South, Gulf of Maine, New England","predacious","adult","Great Channel South, Gulf of Maine, New England",278951.451170416,90072.9795112695,0.302736098693012,9.55189872695552,0.00534097865226146
"predacious.adult.South of Marthas Vineyard, New England","predacious","adult","South of Marthas Vineyard, New England",27001.0165568725,27747.5443777824,0.00200239560882036,0.0541731575309057,0.817709927366765
"piscivorous.adult.South of Marthas Vineyard, New England","piscivorous","adult","South of Marthas Vineyard, New England",1527.79318298831,80233.3407799923,0.0234252175985282,0.335819695828038,0.571460155763786
"piscivorous.adult.Gulf of Maine, New England","piscivorous","adult","Gulf of Maine, New England",-307.330062225959,276034.961408492,0.0222886889602978,1.80094717937862,0.18344240447847
"predacious.adult.Gulf of Maine, New England","predacious","adult","Gulf of Maine, New England",0,168000,NA,NA,NA
"predacious.larva.Andaman Sea (West of South Thailand)","predacious","larva","Andaman Sea (West of South Thailand)",1509.12569565978,0.00267191819116117,0.187278301457234,7.37387183998773,0.0105792556844276
"predacious.adult.Mid Atlantic","predacious","adult","Mid Atlantic",1.80462752228188,71.3783704109279,0.311915127341068,16.3191272333702,0.000268459148836844
"piscivorous.adult.Mid Atlantic","piscivorous","adult","Mid Atlantic",5.54412287304514,64.6364734633913,0.157138567803634,13.6097287305854,0.00043035055039375
"predacious.larva / juvenile.NE North Sea and Skaggerak","predacious","larva / juvenile","NE North Sea and Skaggerak",12891.0179017009,-0.00894725357799645,0.679886964911185,40.3540340983879,4.28279187292492e-06
